url,title,price,address,area,floor,year,metro_name,metro_time,house_type,_error,lat,lon,schools_count_800m,clinics_count_800m,kindergartens_count_800m
https://www.cian.ru/sale/flat/303106845/,"Продается 2-комн. квартира, 57,85 м²",32 858 800 ₽,"Москва, САО, р-н Хорошевский, Сезар Сити жилой комплекс","57,85 м²",29 из 51,,Хорошёвская,17 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/321617660/,"Продается 2-комн. квартира, 44,8 м²",,,,,,,,,,29.3644727,112.3905651,1,2,0
https://www.cian.ru/sale/flat/322949092/,"Продается 2-комн. квартира, 59 м²",24 500 000 ₽,"Москва, СВАО, р-н Бутырский, ул. Милашенкова, 7К2",59 м²,21 из 25,2024.0,Фонвизинская,2 мин.,,,55.828199526,37.579398716,5,2,9
https://www.cian.ru/sale/flat/297432208/,"Продается 4-комн. квартира, 125,4 м²",80 883 000 ₽,"Москва, СВАО, р-н Марфино, Ботаническая ул., 29Ак3","125,4 м²",29 из 31,,Фонвизинская,20 мин.,,,55.82235849,37.602693991,3,0,4
https://www.cian.ru/sale/flat/320630883/,"Продается 1-комн. квартира, 31 м²",12 990 000 ₽,"Москва, СВАО, р-н Марьина роща, Шереметьевская ул., 11К2",31 м²,4 из 5,1962.0,Марьина Роща,3 мин.,Панельный,,55.80085925,37.61590985,2,4,5
https://www.cian.ru/sale/flat/323635294/,"Продается 2-комн. квартира, 57,3 м²",34 888 824 ₽,"Москва, САО, р-н Хорошевский, ул. Куусинена, вл21","57,3 м²",42 из 55,,Октябрьское поле,15 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/323460296/,"Продаются 1-комн. апартаменты, 56,8 м²",33 887 770 ₽,"Москва, САО, р-н Хорошевский, ул. Зорге, 9Ак1","56,8 м²",23 из 23,,Зорге,10 мин.,Монолитно-кирпичный,,55.7953865585838,37.50405299307615,8,1,16
https://www.cian.ru/sale/flat/321328623/,"Продается 2-комн. квартира, 65 м²",30 999 999 ₽,"Москва, Новодмитровская ул., 2к6",65 м²,31 из 48,2017.0,Савёловская,18 мин.,Монолитный,,55.8029981,37.5911245,1,9,2
https://www.cian.ru/sale/flat/323597857/,"Продается 1-комн. квартира, 30 м²",15 500 000 ₽,"Москва, СВАО, р-н Бутырский, ул. Руставели, 16к1",30 м²,5 из 32,2023.0,Бутырская,4 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/314330829/,"Продается 3-комн. квартира, 78,2 м²",39 569 200 ₽,"Москва, СВАО, р-н Марфино, Вери жилой комплекс","78,2 м²",13 из 29,,Фонвизинская,20 мин.,,,55.741469,37.615561,7,7,0
